0.00     0.00     0.00     0
-0.46     9.85     27.69     1013
-0.46     9.85     27.57     2027
-0.46     9.85     27.57     3041
-0.46     9.85     27.34     4055
-0.46     9.85     27.23     5068
-0.46     9.85     27.11     6083
-0.34     9.85     27.00     7097
-0.34     9.96     26.88     8111
-0.34     9.85     26.88     9124
-0.34     9.96     26.77     10138
-0.34     9.96     26.65     11152
-0.34     9.96     26.54     12167
-0.34     9.96     26.54     13180
-0.22     9.96     26.54     14194
-0.22     10.07     26.31     15209
-0.22     10.07     26.31     16223
-0.22     10.07     26.31     17236
-0.22     10.07     26.42     18251
-0.10     10.07     26.54     19265
-0.10     10.07     26.65     20279
-0.10     10.07     26.77     21294
-0.10     10.07     26.77     22307
-0.10     9.96     26.88     23321
-0.10     9.96     27.00     24335
0.02     9.96     27.00     25350
0.02     9.85     27.00     26363
0.02     9.85     26.88     27377
0.02     9.96     26.88     28391
0.02     9.96     26.77     29406
0.02     9.96     26.65     30419
-0.10     10.07     26.65     31433
-0.10     10.18     26.54     32448
-0.22     10.18     26.54     33462
-0.34     10.29     26.54     34476
-0.34     10.29     26.65     35490
-0.46     10.29     26.77     36504
-0.46     10.40     26.88     37518
-0.57     10.40     27.00     38533
-0.57     10.29     27.11     39546
-0.57     10.29     27.23     40560
-0.57     10.29     27.23     41575
-0.57     10.29     27.34     42589
-0.46     10.18     27.46     43602
-0.57     10.18     27.46     44617
-0.57     10.18     27.57     45631
-0.57     10.07     27.69     46645
-0.46     9.96     27.69     47659
-0.46     9.85     27.80     48673
-0.46     9.85     27.80     49687
-0.46     9.74     27.69     50701
-0.46     9.74     27.57     51715
-0.46     9.85     27.57     52728
-0.46     9.74     27.46     53743
-0.46     9.74     27.34     54757
-0.46     9.74     27.23     55771
-0.34     9.74     27.11     56784
-0.34     9.74     27.00     57799
-0.34     9.85     27.00     58813
-0.34     9.74     26.88     59827
-0.34     9.85     26.88     60840
-0.34     9.85     26.77     61855
-0.34     9.85     26.65     62869
-0.22     9.85     26.65     63883
-0.22     9.96     26.54     64897
-0.22     9.96     26.42     65911
-0.22     9.96     26.42     66925
