19.37     17.18     17.50     19.53     20.25     215735
19.26     16.78     17.50     19.53     20.12     217518
19.04     16.38     17.50     19.53     19.94     219299
18.82     16.18     16.43     18.55     19.75     221082
18.49     15.98     16.43     19.53     19.56     222865
18.38     15.88     16.43     19.04     19.44     224647
18.05     15.88     15.37     19.04     19.37     226429
18.05     15.78     15.37     18.55     19.25     228212
17.94     15.78     15.37     19.53     19.25     229994
17.83     15.88     16.43     19.04     19.25     231777
17.83     15.98     15.37     18.07     19.19     233560
17.73     16.08     15.37     18.55     19.12     235342
17.73     16.18     15.37     18.07     19.12     237124
17.62     16.38     16.43     18.07     19.19     238907
17.62     16.48     15.37     18.55     19.19     240690
17.62     16.68     16.43     18.55     19.19     242471
17.62     16.88     16.43     19.04     19.25     244254
17.62     16.98     16.43     19.04     19.25     246037
17.62     17.18     15.37     18.07     19.37     247819
17.62     17.28     16.43     19.04     19.37     249602
17.62     17.38     16.43     18.07     19.44     251384
17.62     17.58     16.43     18.07     19.44     253166
17.62     17.68     16.43     18.07     19.50     254949
17.62     17.78     15.37     18.55     19.50     256732
17.62     17.88     16.43     18.07     19.56     258513
17.73     17.88     16.43     19.04     19.56     260296
17.73     17.88     16.43     18.55     19.56     262079
17.73     17.88     16.43     18.07     19.56     263862
17.73     17.98     16.43     18.07     19.56     265644
17.73     17.98     16.43     19.53     19.56     267426
17.73     17.98     16.43     18.07     19.56     269209
17.83     17.98     16.43     18.55     19.56     270991
17.73     17.98     16.43     18.55     19.56     272774
17.73     17.98     16.43     18.55     19.56     274556
17.73     17.98     16.43     18.07     19.56     276338
17.73     17.98     16.43     19.04     19.50     278121
17.73     17.88     16.43     18.07     19.50     279904
17.73     17.88     16.43     18.07     19.50     281686
17.73     17.88     16.43     18.55     19.44     283468
17.73     17.78     16.43     18.55     19.44     285251
17.73     17.78     16.43     18.07     19.37     287033
17.62     17.78     16.43     18.07     19.37     288816
17.62     17.78     16.43     19.04     19.37     290598
17.51     17.68     16.43     18.07     19.31     292380
17.51     17.38     16.43     19.04     19.19     294163
17.40     17.08     16.43     18.55     19.06     295946
17.40     16.88     16.43     18.07     18.94     297729
17.18     16.38     16.43     17.58     18.81     299510
17.07     15.88     15.37     18.55     18.56     301293
16.96     15.48     15.37     18.07     18.37     303076
16.85     15.08     15.37     18.07     18.25     304858
16.74     14.68     14.30     17.09     18.00     306640
16.52     14.29     14.30     16.60     17.75     308423
16.41     13.89     14.30     16.60     17.56     310205
16.19     13.69     13.23     17.58     17.37     311988
15.98     13.29     13.23     17.09     17.19     313771
15.76     12.88     13.23     15.63     17.12     315552
15.65     12.58     13.23     16.11     16.94     317335
15.43     12.18     12.16     16.11     16.75     319118
15.21     11.88     12.16     16.11     16.50     320900
14.99     11.68     12.16     15.63     16.31     322682
14.88     11.58     12.16     15.14     16.19     324465
14.66     11.38     12.16     15.14     16.00     326247
14.45     11.38     12.16     16.11     15.94     328030
14.34     11.28     11.10     15.14     15.81     329812
