0.37     35.98     218040
1.77     35.85     219049
1.65     35.85     220059
1.53     35.73     221068
1.53     35.60     222077
1.53     35.60     223087
1.53     35.60     224097
1.53     35.35     225105
1.42     35.35     226115
1.53     35.23     227125
1.42     35.10     228134
1.42     35.10     229144
1.42     34.98     230153
1.30     34.85     231162
1.42     34.85     232172
1.42     34.73     233182
1.42     34.61     234190
1.42     34.61     235200
1.42     34.48     236210
1.42     34.48     237219
1.42     34.36     238228
1.42     34.36     239238
1.42     34.36     240247
1.42     34.36     241257
1.42     34.24     242266
1.42     34.24     243275
1.42     34.24     244285
1.42     34.24     245295
1.42     34.11     246304
1.42     34.11     247313
1.53     34.11     248323
1.53     34.11     249332
1.53     34.11     250341
1.53     33.99     251351
1.53     33.99     252360
1.53     33.99     253370
1.53     33.99     254379
1.53     33.99     255388
1.53     33.99     256398
1.53     33.99     257408
1.65     33.99     258416
1.53     33.99     259426
1.65     33.99     260435
1.65     33.99     261445
1.53     33.99     262454
1.65     33.99     263463
1.65     33.99     264473
1.65     33.99     265483
1.65     33.99     266491
1.65     33.99     267501
1.65     33.99     268511
1.53     33.99     269519
1.65     33.99     270529
1.65     33.99     271539
1.65     33.99     272548
1.65     34.11     273557
1.65     33.99     274567
1.53     34.11     275576
1.65     34.11     276586
1.65     34.11     277595
1.65     34.11     278604
1.65     34.11     279614
1.53     34.11     280624
1.65     34.11     281632
1.65     34.11     282642
1.65     34.11     283652
1.53     34.11     284660
1.65     34.11     285670
1.53     34.11     286680
1.65     34.11     287689
1.65     34.11     288698
1.53     33.99     289708
1.53     34.11     290717
1.53     33.99     291727
1.53     33.99     292736
1.53     33.99     293745
1.65     33.99     294755
1.65     33.99     295763
1.65     33.99     296773
1.65     33.87     297783
1.65     33.99     298792
1.65     33.99     299801
1.65     33.99     300811
1.65     33.99     301820
1.65     33.99     302830
1.65     34.11     303839
1.65     33.99     304848
1.65     33.99     305858
1.65     33.99     306868
1.65     33.99     307876
1.53     33.99     308886
1.65     33.99     309896
1.65     33.99     310905
1.65     33.99     311914
1.65     33.99     312924
1.65     33.99     313933
1.65     33.99     314943
1.65     33.99     315952
1.53     33.99     316961
1.65     33.99     317971
1.53     33.99     318981
1.65     33.99     319989
1.53     33.99     320999
1.65     33.99     322009
1.53     33.99     323017
1.65     33.99     324027
1.65     33.99     325037
1.65     33.99     326046
1.53     33.99     327055
1.65     33.99     328065
1.65     33.99     329074
1.65     33.99     330084
1.53     33.99     331092
1.65     33.87     332102
1.53     33.99     333112
1.65     33.99     334121
1.65     33.99     335130
1.65     33.99     336140
1.65     33.99     337149
1.53     33.99     338159
1.53     33.99     339168
1.65     33.99     340177
1.65     33.99     341187
1.53     33.99     342197
1.53     33.99     343205
1.65     33.99     344215
1.65     33.99     345225
1.65     33.99     346233
1.65     33.99     347243
1.53     33.99     348253
1.53     33.99     349262
1.53     33.99     350271
1.53     33.99     351281
1.53     33.87     352290
1.65     33.99     353300
1.65     33.99     354309
1.65     33.99     355318
1.65     33.99     356328
1.53     33.87     357338
1.65     33.87     358346
1.53     33.99     359356
1.65     33.87     360366
1.65     33.99     361374
1.65     33.99     362384
1.65     33.87     363394
1.53     33.99     364403
1.65     33.99     365412
1.65     33.99     366422
1.53     33.99     367431
1.53     33.87     368441
1.53     33.87     369449
1.53     33.99     370459
1.53     33.87     371469
1.65     33.99     372477
1.65     33.87     373487
1.53     33.74     374497
1.65     33.87     375506
1.65     33.87     376515
1.53     33.87     377525
1.65     33.87     378534
1.53     33.87     379544
1.65     33.87     380553
1.53     33.87     381562
1.53     33.87     382572
1.65     33.87     383581
1.65     33.87     384590
1.53     33.87     385600
1.65     33.87     386610
1.65     33.87     387618
1.65     33.87     388628
1.65     33.87     389638
1.53     33.87     390646
1.65     33.87     391656
1.65     33.87     392666
1.65     33.87     393675
1.65     33.87     394684
1.65     33.87     395694
1.65     33.87     396703
1.65     33.87     397712
1.65     33.74     398722
1.65     33.99     399731
1.53     33.87     400741
1.65     33.87     401750
1.53     33.87     402759
1.53     33.87     403769
1.53     33.87     404779
1.65     33.87     405787
1.53     33.87     406797
1.53     33.87     407806
1.65     33.87     408815
1.65     33.87     409825
1.65     33.87     410834
1.65     33.87     411844
1.65     33.87     412853
1.65     33.87     413862
1.53     33.99     414872
1.65     33.87     415881
1.53     33.87     416890
1.65     33.87     417900
1.65     33.87     418910
1.53     33.87     419918
1.65     33.87     420928
1.65     33.87     421938
1.65     33.87     422946
1.42     33.87     423956
1.65     33.87     424966
1.65     33.87     425975
1.65     33.87     426984
1.65     33.87     427994
1.65     33.87     429003
1.53     33.87     430012
1.53     33.87     431022
1.65     33.87     432031
1.53     33.87     433041
1.65     33.87     434050
1.65     33.87     435059
1.65     33.87     436069
1.65     33.87     437078
1.65     33.74     438087
1.53     33.87     439097
1.53     33.87     440107
1.65     33.87     441115
1.65     33.87     442125
1.65     33.62     443134
1.53     33.87     444143
1.65     33.87     445153
1.65     33.87     446162
1.53     33.87     447172
1.53     33.87     448181
1.53     33.87     449190
1.65     33.87     450200
1.65     33.87     451209
1.65     33.74     452218
1.53     33.87     453228
1.53     33.87     454238
1.53     33.74     455246
1.53     33.87     456256
1.65     33.87     457266
1.53     33.87     458275
1.65     33.74     459284
1.65     33.74     460294
1.65     33.87     461303
1.53     33.87     462312
1.65     33.74     463322
1.65     33.87     464331
1.53     33.87     465341
1.53     33.87     466350
1.65     33.87     467359
1.53     33.87     468369
1.65     33.74     469378
1.65     33.74     470387
1.65     33.87     471397
1.65     33.87     472407
1.53     33.87     473415
1.53     33.74     474425
1.53     33.74     475435
1.65     33.74     476443
1.65     33.74     477453
1.65     33.74     478462
1.65     33.74     479472
1.65     33.99     480481
1.65     33.74     481490
1.53     33.74     482500
1.65     33.87     483510
1.65     33.74     484518
1.65     33.74     485528
1.53     33.74     486538
1.53     33.74     487546
1.65     33.74     488556
1.65     33.74     489566
1.53     33.87     490575
1.65     33.74     491584
1.65     33.74     492594
1.53     33.87     493603
1.65     33.87     494612
1.53     33.87     495622
1.65     33.87     496631
1.53     33.87     497641
1.53     33.74     498650
1.53     33.87     499659
1.53     33.74     500669
1.53     33.87     501678
1.53     33.74     502687
1.53     33.74     503697
1.65     33.74     504707
1.53     33.74     505715
1.53     33.74     506725
1.53     33.87     507735
1.65     33.74     508744
1.65     33.74     509753
1.53     33.74     510763
1.53     33.62     511772
1.65     33.87     512781
1.53     33.74     513790
1.53     33.74     514800
1.65     33.74     515810
1.65     33.74     516818
1.65     33.74     517828
1.53     33.74     518838
1.65     33.74     519846
1.65     33.74     520856
1.53     33.74     521866
1.65     33.62     522875
1.65     33.74     523884
